Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Tv3ci0UMVZ3x9OaGJB1rv,The Stones,spotify:artist:5zS8r5hRRk1jzD41yYS1NO,Baths,spotify:album:7CNADHu4cWUHE2b6ESIHCx,Pop Music / False B-Sides II,2020-05-29,https://i.scdn.co/image/ab67616d0000b273af12accf6b09f0ccb5e58690,1,12,415378,https://p.scdn.co/mp3-preview/4969ef5b5fdbaab0bb3026890ffa04e52c4e615f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,20,,2021-01-24T10:24:55Z,chillwave,0.511,0.378,6,-11.825,1,0.107,0.367,0.835,0.11,0.584,83.535,4
spotify:track:2FBU4uNmIY4nU73MHgo3H6,Be That,spotify:artist:5zS8r5hRRk1jzD41yYS1NO,Baths,spotify:album:7CNADHu4cWUHE2b6ESIHCx,Pop Music / False B-Sides II,2020-05-29,https://i.scdn.co/image/ab67616d0000b273af12accf6b09f0ccb5e58690,1,11,226200,https://p.scdn.co/mp3-preview/9bcef8c8b902fdc17c3ec9d40820b0ffb7f23554?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,20,,2021-01-24T10:22:41Z,chillwave,0.429,0.435,6,-11.161,1,0.0282,0.0287,0.523,0.0747,0.359,75.06,4
spotify:track:6pytu0AWoN40d5VY6C89Rd,Veranda Shove,spotify:artist:5zS8r5hRRk1jzD41yYS1NO,Baths,spotify:album:7CNADHu4cWUHE2b6ESIHCx,Pop Music / False B-Sides II,2020-05-29,https://i.scdn.co/image/ab67616d0000b273af12accf6b09f0ccb5e58690,1,9,118150,https://p.scdn.co/mp3-preview/c7453702fc02c694e2a2afd217a8985e99bb02c0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,22,,2021-01-24T10:14:04Z,chillwave,0.382,0.908,4,-8.203,1,0.208,0.000457,0.386,0.133,0.285,150.113,4
spotify:track:4VQPuTO98JrKBvcsj60izm,Sex,spotify:artist:5zS8r5hRRk1jzD41yYS1NO,Baths,spotify:album:7CNADHu4cWUHE2b6ESIHCx,Pop Music / False B-Sides II,2020-05-29,https://i.scdn.co/image/ab67616d0000b273af12accf6b09f0ccb5e58690,1,5,227500,https://p.scdn.co/mp3-preview/95b219b7dc67203c0a52f6db5d79b9b7e8e9e890?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,26,,2021-01-24T09:58:47Z,chillwave,0.553,0.523,11,-8.697,0,0.0569,0.111,0.00562,0.243,0.293,120.029,4
spotify:track:1l1o761oy3oZiwzU75QI5S,Angel,"spotify:artist:271bbpX3pdCi56ZJA1jQ43, spotify:artist:55EarwWraRQY9diMo9Oeul","Lava La Rue, Deb Never",spotify:album:5FMkcYANuajBUi9yq27hgU,Angel,2020-11-11,https://i.scdn.co/image/ab67616d0000b273be9b919890978357d06766c2,1,1,236486,https://p.scdn.co/mp3-preview/02b2a67566bca5874b5007d1f2a5ceb1b64a8fad?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,49,,2021-01-23T10:39:45Z,"indie r&b,uk alternative hip hop,uk contemporary r&b,modern indie pop",0.6,0.826,1,-5.367,1,0.065,0.0132,0.000132,0.0896,0.445,106.985,4
spotify:track:5pA5AZHYFdni9isjy1vkoK,Corner Store,spotify:artist:3P9RPqVK0w0CN5SqlQ6j0f,Palberta,spotify:album:0bF0MmOAxVT4hBlareepVq,Palberta5000,2021-01-22,https://i.scdn.co/image/ab67616d0000b273ef941c9ab1f1a4729ecff736,1,11,151826,https://p.scdn.co/mp3-preview/038061c183996588cf86d1012095fa48275bf08b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,,2021-01-23T06:40:03Z,art punk,0.542,0.57,0,-8.166,1,0.0427,0.689,0.000236,0.149,0.829,122.739,4
spotify:track:6ZAL7fqXJVK1iNQ0C27zP0,Red Antz,spotify:artist:3P9RPqVK0w0CN5SqlQ6j0f,Palberta,spotify:album:0bF0MmOAxVT4hBlareepVq,Palberta5000,2021-01-22,https://i.scdn.co/image/ab67616d0000b273ef941c9ab1f1a4729ecff736,1,8,116666,https://p.scdn.co/mp3-preview/48618d77d1547f260b0384b3feea870822a245b4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,,2021-01-23T06:35:07Z,art punk,0.658,0.522,9,-7.153,1,0.0389,0.547,0.000146,0.168,0.964,161.591,4
spotify:track:6PgcN4u5wjezNjp1vCoVdo,Sound of the Beat,spotify:artist:3P9RPqVK0w0CN5SqlQ6j0f,Palberta,spotify:album:1AR0wdwqzmPQdtGWsQWG6s,Roach Going Down,2018-06-15,https://i.scdn.co/image/ab67616d0000b273860ea29fe0321344641a687c,1,12,64760,https://p.scdn.co/mp3-preview/55ca134d480aa09f8864e319b2f6def225deb5f0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,19,,2021-01-23T04:41:08Z,art punk,0.751,0.721,7,-6.032,1,0.116,0.246,0.453,0.055,0.973,122.791,4
spotify:track:3NGcW10ArF6GLjQ7cl7B3v,New Job,spotify:artist:7DlD7rLG9MKuvXtTeACzkO,Dry Cleaning,spotify:album:2RoDiBN2teda8nQ33CO2WR,Sweet Princess EP,2019-08-16,https://i.scdn.co/image/ab67616d0000b273f5b9ec8f9354c493434a030b,1,2,176842,https://p.scdn.co/mp3-preview/4bf40b093e714f7ffd1d49eee907878665f54c87?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,,2021-01-23T01:21:05Z,"chamber psych,garage psych,uk post-punk revival",0.39,0.833,9,-3.508,0,0.0594,0.0000161,0.00122,0.072,0.228,166.543,4
spotify:track:0tX8L0x1LHOxfaePopkN5e,Call You Back,spotify:artist:6DV3jpGMhaFp3YJxpawB8K,Mourn,spotify:album:3jqz7Lpczl4NoUKm37OBea,Self Worth,2020-10-30,https://i.scdn.co/image/ab67616d0000b2730972a1c2a6b77004c79d7880,1,2,135191,https://p.scdn.co/mp3-preview/85f591045dd12fb71308641ba606869a8f565932?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,25,,2021-01-21T08:03:46Z,"bubblegrunge,garage psych,spanish post-punk",0.431,0.919,9,-4.704,0,0.038,0.000131,0.0586,0.296,0.324,140.022,4
